Company,Career page
Okx,https://job-boards.greenhouse.io/okx 
Ava Labs,https://jobs.ashbyhq.com/ava-labs 
Li.Fi,https://jobs.ashbyhq.com/li.fi 
Tastylive,https://job-boards.greenhouse.io/tastylive 
MoonPay,https://jobs.lever.co/moonpay 
Consensys,https://job-boards.greenhouse.io/consensys 
0x,https://jobs.ashbyhq.com/0x 
Across,https://jobs.ashbyhq.com/risklabs 
A16Z,https://job-boards.greenhouse.io/a16z 
Safe,https://safe-labs.jobs.personio.com/ 
P2P.org,https://jobs.ashbyhq.com/p2p.org 
Tempo,https://jobs.ashbyhq.com/tempo-xyz 
CoinMarketCap,https://jobs.lever.co/coinmarketcap 
Dune,https://jobs.ashbyhq.com/dune 
Nethermind,https://jobs.ashbyhq.com/nethermind 
BVNK,https://job-boards.eu.greenhouse.io/bvnk 
Reown,https://apply.workable.com/walletconnect/#jobs 
n8n,https://jobs.ashbyhq.com/n8n 
Ethena,https://jobs.lever.co/ethenalabs/ 
Mercuryo,https://mercuryo.bamboohr.com/careers 
Gnosis,https://gnosis.jobs.personio.com/ 
CowSwap,https://jobs.ashbyhq.com/cow-dao 
AAVE,https://aave.com/careers 
Morpho,https://jobs.ashbyhq.com/morpho 
Morpho,https://jobs.ashbyhq.com/morpho 
Anthropic,https://job-boards.greenhouse.io/anthropic 
Vercel,https://boards-api.greenhouse.io/vercel 
Airtable,https://boards-api.greenhouse.io/airtable 
Monzo,https://job-boards.greenhouse.io/monzo 